Наименование;Артикул;Бренд;Модель;Тип;Технология экрана;Материал корпуса;Материал браслета;Размер;Сайт производителя;Наличие;Цена;Старая цена;Ссылка на карточку с товаром
Jet Kid Start blue Умные детские часы;80235265;Jet;Excidium;подключения:;экрана:;корпуса:;браслета:;54х34х12;производителя:;наличии:;2310 руб;3550 руб;https://parsinger.ru/html/watch/1/1_1.html
Фитнес- браслет BAND 6 FOREST GREEN FARA-B19 HUAWEI;80581842;Huawei;Band;фитнес;экрана:;корпуса:;браслета:;54х34х12;производителя:;наличии:;5480 руб;8565 руб;https://parsinger.ru/html/watch/1/1_2.html
Умные часы GT 3 MIL-B19S BLACK HUAWEI;8058184234;Huawei;Band;фитнес;экрана:;корпуса:;браслета:;54х34х12;производителя:;наличии:;21810 руб;22565 руб;https://parsinger.ru/html/watch/1/1_3.html
Умные часы GT 3 MIL-B19V BROWN HUAWEI;80615308;Huawei;GT;умные;экрана:;корпуса:;браслета:;42.3;производителя:;наличии:;21810 руб;23800 руб;https://parsinger.ru/html/watch/1/1_4.html
Умные часы GT RUNNER-B19S BLACK HUAWEI;80616445;Huawei;GT;умные;экрана:;корпуса:;браслета:;46.4;производителя:;наличии:;27770 руб;30170 руб;https://parsinger.ru/html/watch/1/1_5.html
Умные часы GT RUNNER-B19A GREY HUAWEI;80616446;Huawei;GT;умные;экрана:;корпуса:;браслета:;46.4;производителя:;наличии:;27770 руб;29000 руб;https://parsinger.ru/html/watch/1/1_6.html
Умные часы GT 3 MIL-B19 GOLD HUAWEI;80616447;Huawei;GT;умные;экрана:;корпуса:;браслета:;42.3;производителя:;наличии:;24230 руб;24480 руб;https://parsinger.ru/html/watch/1/1_7.html
Умные часы WATCH 3 GALILEO-L11 STEEL HUAWEI;80590693;Huawei;Watch;умные;экрана:;корпуса:;браслета:;46.2;производителя:;наличии:;32600 руб;32900 руб;https://parsinger.ru/html/watch/1/1_8.html
Умные часы GT 3 JPT-B19V BROWN HUAWEI;80609751;Huawei;GT;умные;экрана:;корпуса:;браслета:;45.9;производителя:;наличии:;24230 руб;24480 руб;https://parsinger.ru/html/watch/1/1_9.html
Умные часы FIT ELEGANT TIA-B29 MIDNIGHT BLACK HUAWEI;80578978;Huawei;Fit;умные;экрана:;корпуса:;браслета:;30;производителя:;наличии:;11460 руб;11580 руб;https://parsinger.ru/html/watch/1/1_10.html
Умные часы GT 2 MATTE BLACK LTN-B19 HUAWEI;80578980;Huawei;Fit;Смарт-часы;экрана:;корпуса:;браслета:;45.9;производителя:;наличии:;15850 руб;16010 руб;https://parsinger.ru/html/watch/1/1_11.html
Умные часы GT 2 PEBBLE BROWN LTN-B19 HUAWEI;8105728981;Huawei;GT;умные;экрана:;корпуса:;браслета:;45.9;производителя:;наличии:;17070 руб;17250 руб;https://parsinger.ru/html/watch/1/1_12.html
Умные часы GT 2 PRO VID-B19 NEBULA GRAY HUAWEI;80581843;Huawei;GT;Смарт-часы;экрана:;корпуса:;браслета:;46.7;производителя:;наличии:;27770 руб;28050 руб;https://parsinger.ru/html/watch/1/1_13.html
Умные часы GT 2 PRO VID-B19 NIGHT BLACK HUAWEI;80581844;Huawei;GT;Смарт-часы;экрана:;корпуса:;браслета:;46.7;производителя:;наличии:;24230 руб;24480 руб;https://parsinger.ru/html/watch/1/1_14.html
Умные часы FIT ELEGANT TIA-B29 FROSTY WHITE HUAWEI;80578979;Huawei;Fit;умные;экрана:;корпуса:;браслета:;30;производителя:;наличии:;11460 руб;11580 руб;https://parsinger.ru/html/watch/1/1_15.html
Умные часы FIT TIA-B09 GRAPHITE BLACK HUAWEI;80598423;Huawei;Fit;умные;экрана:;корпуса:;браслета:;30;производителя:;наличии:;9040 руб;9130 руб;https://parsinger.ru/html/watch/1/1_16.html
Умные часы KIDS 4 PRO ASN-AL10 BLUE HUAWEI;80605938;Huawei;KIDS;Смарт-часы;экрана:;корпуса:;браслета:;41;производителя:;наличии:;15850 руб;16850 руб;https://parsinger.ru/html/watch/1/1_17.html
Умные часы KIDS 4 PRO ASN-AL10 PINK HUAWEI;80605939;Huawei;KIDS;Смарт-часы;экрана:;корпуса:;браслета:;41;производителя:;наличии:;15850 руб;16010 руб;https://parsinger.ru/html/watch/1/1_18.html
GT 2 NIGHT BLACK DIANA-B19S HUAWEI;80605940;Huawei;Watch;Смарт-часы;экрана:;корпуса:;браслета:;41.8;производителя:;наличии:;15850 руб;16010 руб;https://parsinger.ru/html/watch/1/1_19.html
Умные часы GT 3 JPT-B19S BLACK HUAWEI;80609750;Huawei;GT;Смарт-часы;экрана:;корпуса:;браслета:;45.9;производителя:;наличии:;24230 руб;24480 руб;https://parsinger.ru/html/watch/1/1_20.html
Умные часы FIT TIA-B09 DISTILLED BLUE HUAWEI;80598422;Huawei;Fit;умные;экрана:;корпуса:;браслета:;46;производителя:;наличии:;9040 руб;9130 руб;https://parsinger.ru/html/watch/1/1_21.html
Умные часы FIT TIA-B09 SAKURA PINK HUAWEI;80598424;Huawei;Fit;умные;экрана:;корпуса:;браслета:;46;производителя:;наличии:;9040 руб;9130 руб;https://parsinger.ru/html/watch/1/1_22.html
Часы Medisana Шагомер ViFit Connect;8705336;Medisana;ViFit;датчик;экрана:;корпуса:;браслета:;46;производителя:;наличии:;4580 руб;4630 руб;https://parsinger.ru/html/watch/1/1_23.html
Canyon - CNS-SW82BB;8025293634;Canyon;CNS-SW82BB;Смарт-часы;экрана:;корпуса:;браслета:;46;производителя:;наличии:;4840 руб;4890 руб;https://parsinger.ru/html/watch/1/1_24.html
Умные часы FLY BLACK G-SM16BLK GEOZON;80590694;Geozon;G-SM16BLK;Смарт-часы;экрана:;корпуса:;браслета:;44;производителя:;наличии:;3880 руб;3920 руб;https://parsinger.ru/html/watch/1/1_25.html
Canyon - CNS-SW81BG;80468640;Canyon;CNS-SW81BG;Смарт-часы;экрана:;корпуса:;браслета:;262x43.6x12.5;производителя:;наличии:;4510 руб;4560 руб;https://parsinger.ru/html/watch/1/1_26.html
Умные часы MAGIC 2 BLACK 46MM MNS-B39 HONOR;80612714;Honor;MNS-B39;умные;экрана:;корпуса:;браслета:;45.9;производителя:;наличии:;11480 руб;11600 руб;https://parsinger.ru/html/watch/1/1_27.html
Фитнес-браслет BAND FIT PLUS RED G-SM14RED GEOZON;80578938;Geozon;G-SM14RED;фитнес;экрана:;корпуса:;браслета:;45.9;производителя:;наличии:;3790 руб;3830 руб;https://parsinger.ru/html/watch/1/1_28.html
Фитнес-браслет Mi Smart Band 6;80574754;Xiaomi;G-SM14RED;фитнес;экрана:;корпуса:;браслета:;47.4x18.6x12.7;производителя:;наличии:;4700 руб;5700 руб;https://parsinger.ru/html/watch/1/1_29.html
"Смарт-часы Jet Kid Pinkie Pie 40мм 1.44"" TFT розовый";80350904;Jet;Kid;Смарт-часы;экрана:;корпуса:;браслета:;40;производителя:;наличии:;5140 руб;5190 руб;https://parsinger.ru/html/watch/1/1_30.html
"Смарт-часы Jet Sport SW-4C 1.54"" IPS серебристый (SW-4C SILVER)";80397648;Jet;SW-4C;Смарт-часы;экрана:;корпуса:;браслета:;40;производителя:;наличии:;4600 руб;4640 руб;https://parsinger.ru/html/watch/1/1_31.html
"Смарт-часы Jet Kid Optimus Prime 45мм 1.44"" TFT синий/красный";80350906;Jet;Kid;Смарт-часы;экрана:;корпуса:;браслета:;45;производителя:;наличии:;6050 руб;6110 руб;https://parsinger.ru/html/watch/1/1_32.html
